x	y	dy
0.000000000000000000e+00	1.026405234596766292e+01	4.000000000000000000e+00
5.263157894736841813e-01	1.049232859159917197e+01	4.000000000000000000e+00
1.052631578947368363e+00	1.269232751348474153e+01	4.000000000000000000e+00
1.578947368421052655e+00	1.561004932975129833e+01	4.000000000000000000e+00
2.105263157894736725e+00	1.693249103281580403e+01	4.000000000000000000e+00
2.631578947368420796e+00	1.583122923697231421e+01	4.000000000000000000e+00
3.157894736842105310e+00	1.955959036030199272e+01	4.000000000000000000e+00
3.684210526315789380e+00	2.032895328015364811e+01	4.000000000000000000e+00
4.210526315789473450e+00	2.233394965085842188e+01	4.000000000000000000e+00
4.736842105263157521e+00	5.500000000000000000e+01	4.000000000000000000e+00
5.263157894736841591e+00	2.684780986763600907e+01	4.000000000000000000e+00
5.789473684210525661e+00	3.053906882860039929e+01	4.000000000000000000e+00
6.315789473684210620e+00	3.246624174643616811e+01	4.000000000000000000e+00
6.842105263157894690e+00	3.477757108577996803e+01	4.000000000000000000e+00
7.368421052631578760e+00	3.852433615417944424e+01	4.000000000000000000e+00
7.894736842105262831e+00	4.255356728009505218e+01	4.000000000000000000e+00
8.421052631578946901e+00	4.900589432557435998e+01	4.000000000000000000e+00
8.947368421052631859e+00	5.463762176322475028e+01	4.000000000000000000e+00
9.473684210526315042e+00	6.663520926244942189e+01	4.000000000000000000e+00
1.000000000000000000e+01	8.764590426069827345e+01	4.000000000000000000e+00
