x	y	dy
0.000000000000000000e+00	4.764052345967663804e+00	1.000000000000000000e+00
5.263157894736841813e-01	4.715946682051433747e+00	1.000000000000000000e+00
1.052631578947368363e+00	6.610316931474160107e+00	1.000000000000000000e+00
1.578947368421052655e+00	9.188261620254088768e+00	1.000000000000000000e+00
2.105263157894736725e+00	1.013071588488680774e+01	1.000000000000000000e+00
2.631578947368420796e+00	8.601669488544640529e+00	1.000000000000000000e+00
3.157894736842105310e+00	1.184482525963085209e+01	1.000000000000000000e+00
3.684210526315789380e+00	1.205916910749177440e+01	1.000000000000000000e+00
4.210526315789473450e+00	1.342309693768012480e+01	1.000000000000000000e+00
4.736842105263157521e+00	1.525270376509626580e+01	1.000000000000000000e+00
5.263157894736841591e+00	1.630193830800298116e+01	1.000000000000000000e+00
5.789473684210525661e+00	1.892795771748929212e+01	1.000000000000000000e+00
6.315789473684210620e+00	1.955051140935752230e+01	1.000000000000000000e+00
6.842105263157894690e+00	2.022693817438756270e+01	1.000000000000000000e+00
7.368421052631578760e+00	2.186491586432437018e+01	1.000000000000000000e+00
7.894736842105262831e+00	2.307051643263742591e+01	1.000000000000000000e+00
8.421052631578946901e+00	2.554671065210497360e+01	1.000000000000000000e+00
8.947368421052631859e+00	2.516326278886577938e+01	1.000000000000000000e+00
9.473684210526315042e+00	2.699727822796668875e+01	1.000000000000000000e+00
1.000000000000000000e+01	2.714590426069827345e+01	1.000000000000000000e+00
